编号,书名,作者,所属领域,适用场景,落地侧重方向,风险倾向
book_001,经济学原理,N.格里高利·曼昆,金融理财,职业选择/资源配置/机会成本分析/经济周期判断,机会成本评估与供需分析框架,稳健
book_002,宏观经济学（第九版）,N·格里高利·曼昆,金融理财,经济周期判断/资产配置/房贷时机/政策敏感型决策,宏观周期识别与货币政策预判,稳健
book_003,宏观经济学二十五讲：中国视角,徐高,金融理财,房产购置时机/行业选择/政策红利判断/城市发展预判,中国政策传导与行业周期分析,稳健
book_004,战略与路径：黄奇帆的十二堂经济课,黄奇帆,金融理财,产业赛道选择/城市落户决策/政策方向预判/国产替代机会,产业链集群分析与要素改革红利,稳健
book_005,分析与思考：黄奇帆的复旦经济课,黄奇帆,金融理财,房产决策/金融风险识别/宏观调控应对/资产配置调整,供给侧改革与房地产长效机制,稳健
book_009,繁荣与衰退,艾伦·格林斯潘,金融理财,创业时机/经济下行应对/行业衰退判断/技能更新规划,创造性破坏与企业家精神驱动,稳健
book_010,时运变迁：世界货币、美元地位与人民币的未来,保罗·沃尔克,金融理财,外汇资产配置/跨境投资决策/汇率风险管理/留学时机,国际货币体系与多币种对冲策略,稳健
book_011,21世纪货币政策,本·伯南克,金融理财,利率敏感决策/通胀对冲策略/货币政策预判/资产配置时机,量化宽松传导与前瞻性指引预判,稳健
book_012,当音乐停止之后,艾伦·布林德,金融理财,金融危机应对/风险敞口评估/资产避险策略/杠杆控制,系统性风险识别与危机应对预案,稳健
book_013,亚洲大趋势：中国和新兴经济体的未来,乔·史塔威尔,金融理财,新兴市场投资/产业升级判断/跨国发展决策/东南亚机遇,三阶段发展模型与地理套利策略,激进成长
book_016,段永平投资问答录（投资逻辑篇）,段永平,金融理财,股票投资/企业估值/长期资产配置/投资思维框架,价值投资能力圈与安全边际实操,激进成长
book_077,创业投资法律手册,杨春宝,金融理财,创业公司注册/股权结构设计/融资条款审查/合伙人协议,公司治理法律架构与VC条款风险识别,稳健
book_078,什么是金融：哈佛商学院金融课,米希尔·德赛,金融理财,投资决策/企业财务分析/资本结构优化/个人资产配置,风险收益权衡与资本配置效率优化,稳健
book_079,公司金融（基础篇）,理查德·A·布雷利,金融理财,项目投资评估/融资方式选择/企业估值/学历投资回报,NPV净现值决策与CAPM资产定价应用,稳健
book_080,金融经济学二十五讲,徐高,金融理财,金融产品理解/市场定价判断/套利机会识别/金融骗局防范,无套利定价与金融产品拆解分析,稳健
book_081,应用公司理财,阿斯瓦斯·达摩达兰,金融理财,企业估值实操/投资回报测算/分红再投资决策/创业估值,DCF现金流折现估值与资本结构优化,激进成长
book_082,穿越寒冬：创业者的融资策略与独角兽思维,史蒂文·霍夫曼,金融理财,创业融资/商业计划书/投资人谈判/创业规模选择,融资阶段匹配与投资人关系管理,激进成长
book_083,超级天使投资,大卫·罗斯,金融理财,天使投资入门/早期项目判断/投资回报预期/创业公司评估,天使投资筛选与组合分散策略,激进成长
book_084,风险投资交易：条款清单全揭秘,布拉德·菲尔德,金融理财,融资条款谈判/VC条款理解/创业者权益保护/Term Sheet解读,优先清算权与董事会控制权设计,稳健
book_086,创业之初你不可不知的融资知识,桂曙光,金融理财,首次融资/商业计划书撰写/投资机构筛选/估值谈判,融资渠道全景图与BP核心逻辑,稳健
book_087,给你一个亿你能干什么,查立,金融理财,创业启动金规划/项目可行性判断/资金使用效率/烧钱节奏,资本效率与MVP验证优先策略,激进成长
book_088,一本书看透股权架构,李利威,金融理财,合伙创业股权分配/股权激励设计/控制权保护/公司架构设计,股权架构6大模型与动态调整,稳健
book_090,股权战争,苏龙飞,金融理财,合伙人纠纷预防/控制权保护/股东协议设计/股权纠纷,创始人控制权保卫与股东权利博弈,稳健
